region_code,year,median_income,average_income,region
PV22,2017JJ00,5.5,8.7,Drenthe
PV22,2018JJ00,5.7,9.1,Drenthe
PV22,2019JJ00,6.2,9.7,Drenthe
PV22,2020JJ00,6.8,10.3,Drenthe
PV22,2021JJ00,7.4,11.1,Drenthe
PV22,2022JJ00,8.5,12.3,Drenthe
PV22,2023JJ00,10,13.9,Drenthe
PV22,2024JJ00,11.6,15.7,Drenthe
PV23,2011JJ00,6.7,9.7,Overijssel
PV23,2012JJ00,6.6,9.5,Overijssel
PV23,2013JJ00,6.4,9.2,Overijssel
PV23,2014JJ00,6.3,9.1,Overijssel
PV23,2015JJ00,6.4,9.2,Overijssel
PV23,2016JJ00,6.2,9.2,Overijssel
PV23,2017JJ00,6.3,9.5,Overijssel
PV23,2018JJ00,6.5,9.9,Overijssel
PV23,2019JJ00,6.8,10.4,Overijssel
PV23,2020JJ00,7.3,11,Overijssel
PV23,2021JJ00,7.8,11.6,Overijssel
PV23,2022JJ00,8.5,12.6,Overijssel
PV23,2023JJ00,9.9,14,Overijssel
PV23,2024JJ00,11.8,15.8,Overijssel
PV24,2011JJ00,6.9,9.9,Flevoland
PV24,2012JJ00,6.7,9.6,Flevoland
PV24,2013JJ00,6.5,9.4,Flevoland
PV24,2014JJ00,6.4,9.2,Flevoland
PV24,2015JJ00,6.3,9.2,Flevoland
PV24,2016JJ00,6.3,9.2,Flevoland
PV24,2017JJ00,6.4,9.4,Flevoland
PV24,2018JJ00,6.7,10,Flevoland
PV24,2019JJ00,7.2,10.7,Flevoland
PV24,2020JJ00,7.6,11.2,Flevoland
PV24,2021JJ00,8.2,11.9,Flevoland
PV24,2022JJ00,9.1,13,Flevoland
PV24,2023JJ00,10.4,14.3,Flevoland
PV24,2024JJ00,11.9,15.9,Flevoland
PV25,2011JJ00,6.4,9.6,Gelderland
PV25,2012JJ00,6.3,9.4,Gelderland
PV25,2013JJ00,6.3,9.3,Gelderland
PV25,2014JJ00,6.2,9.1,Gelderland
PV25,2015JJ00,6.2,9.2,Gelderland
PV25,2016JJ00,6.2,9.3,Gelderland
PV25,2017JJ00,6.2,9.5,Gelderland
PV25,2018JJ00,6.3,9.9,Gelderland
PV25,2019JJ00,6.6,10.4,Gelderland
PV25,2020JJ00,7.2,11.1,Gelderland
PV25,2021JJ00,7.7,11.7,Gelderland
PV25,2022JJ00,8.5,12.6,Gelderland
PV25,2023JJ00,9.8,14,Gelderland
PV25,2024JJ00,11.7,15.8,Gelderland
PV26,2011JJ00,6.8,10.1,Utrecht
PV26,2012JJ00,6.6,9.9,Utrecht
PV26,2013JJ00,6.3,9.6,Utrecht
PV26,2014JJ00,6.3,9.5,Utrecht
PV26,2015JJ00,6.4,9.5,Utrecht
PV26,2016JJ00,6.3,9.6,Utrecht
PV26,2017JJ00,6.3,9.8,Utrecht
PV26,2018JJ00,6.3,10.2,Utrecht
PV26,2019JJ00,6.5,10.6,Utrecht
PV26,2020JJ00,7,11.2,Utrecht
PV26,2021JJ00,7.4,11.7,Utrecht
PV26,2022JJ00,8,12.5,Utrecht
PV26,2023JJ00,9.2,13.7,Utrecht
PV26,2024JJ00,11.1,15.3,Utrecht
PV27,2011JJ00,6.9,10,North Holland
PV27,2012JJ00,6.9,9.9,North Holland
PV27,2013JJ00,6.7,9.7,North Holland
PV27,2014JJ00,6.7,9.6,North Holland
PV27,2015JJ00,6.9,9.8,North Holland
PV27,2016JJ00,6.9,10,North Holland
PV27,2017JJ00,7,10.2,North Holland
PV27,2018JJ00,7.2,10.7,North Holland
PV27,2019JJ00,7.4,11.2,North Holland
PV27,2020JJ00,7.6,11.6,North Holland
PV27,2021JJ00,8.1,12,North Holland
PV27,2022JJ00,9,13.2,North Holland
PV27,2023JJ00,10.2,14.4,North Holland
PV27,2024JJ00,11.9,15.9,North Holland
PV28,2011JJ00,7,10.3,South Holland
PV28,2012JJ00,6.8,10,South Holland
PV28,2013JJ00,6.5,9.8,South Holland
PV28,2014JJ00,6.5,9.6,South Holland
PV28,2015JJ00,6.5,9.6,South Holland
PV28,2016JJ00,6.5,9.7,South Holland
PV28,2017JJ00,6.6,10,South Holland
PV28,2018JJ00,6.8,10.5,South Holland
PV28,2019JJ00,7.1,11,South Holland
PV28,2020JJ00,7.5,11.6,South Holland
PV28,2021JJ00,8.1,12.2,South Holland
PV28,2022JJ00,8.7,13.1,South Holland
PV28,2023JJ00,9.9,14.4,South Holland
PV28,2024JJ00,11.6,15.8,South Holland
PV29,2011JJ00,6.7,10,Zeeland
PV29,2012JJ00,6.7,9.8,Zeeland
PV29,2013JJ00,6.6,9.8,Zeeland
PV29,2014JJ00,6.7,9.8,Zeeland
PV29,2015JJ00,6.7,9.8,Zeeland
PV29,2016JJ00,6.7,10,Zeeland
PV29,2017JJ00,7,10.3,Zeeland
PV29,2018JJ00,7.3,10.8,Zeeland
PV29,2019JJ00,7.9,11.6,Zeeland
PV29,2020JJ00,8.6,12.4,Zeeland
PV29,2021JJ00,9.2,13,Zeeland
PV29,2022JJ00,10.2,14.2,Zeeland
PV29,2023JJ00,11.7,15.6,Zeeland
PV29,2024JJ00,13.3,17.2,Zeeland
PV30,2011JJ00,6.6,9.8,North Brabant
PV30,2012JJ00,6.5,9.7,North Brabant
PV30,2013JJ00,6.4,9.5,North Brabant
PV30,2014JJ00,6.5,9.5,North Brabant
PV30,2015JJ00,6.5,9.6,North Brabant
PV30,2016JJ00,6.5,9.7,North Brabant
PV30,2017JJ00,6.7,10.1,North Brabant
PV30,2018JJ00,6.9,10.5,North Brabant
PV30,2019JJ00,7.2,11.1,North Brabant
PV30,2020JJ00,7.7,11.7,North Brabant
PV30,2021JJ00,8.2,12.3,North Brabant
PV30,2022JJ00,9.1,13.4,North Brabant
PV30,2023JJ00,10.6,14.8,North Brabant
PV30,2024JJ00,12.4,16.5,North Brabant
PV31,2011JJ00,6.2,9.4,Limburg
PV31,2012JJ00,6.3,9.4,Limburg
PV31,2013JJ00,6.3,9.3,Limburg
PV31,2014JJ00,6.2,9.2,Limburg
PV31,2015JJ00,6.3,9.3,Limburg
PV31,2016JJ00,6.3,9.4,Limburg
PV31,2017JJ00,6.4,9.7,Limburg
PV31,2018JJ00,6.6,10.2,Limburg
PV31,2019JJ00,7,10.7,Limburg
PV31,2020JJ00,7.5,11.3,Limburg
PV31,2021JJ00,7.9,11.9,Limburg
PV31,2022JJ00,8.7,12.9,Limburg
PV31,2023JJ00,10.2,14.4,Limburg
PV31,2024JJ00,11.9,16,Limburg
GM0363,2011JJ00,7.3,10,Amsterdam
GM0363,2012JJ00,7.2,9.9,Amsterdam
GM0363,2013JJ00,7.1,9.8,Amsterdam
GM0363,2014JJ00,7.2,9.8,Amsterdam
GM0363,2015JJ00,7.5,10.1,Amsterdam
GM0363,2016JJ00,7.7,10.5,Amsterdam
GM0363,2017JJ00,7.9,10.9,Amsterdam
GM0363,2018JJ00,8.2,11.5,Amsterdam
GM0363,2019JJ00,8.4,12.1,Amsterdam
GM0363,2020JJ00,8.4,12.3,Amsterdam
GM0363,2021JJ00,8.9,12.8,Amsterdam
GM0363,2022JJ00,9.7,13.9,Amsterdam
GM0363,2023JJ00,10.9,15.1,Amsterdam
GM0363,2024JJ00,12.6,16.4,Amsterdam
